relation,professionnal,friendly,romance,weight,classified_total,professionnal_pct,friendly_pct,romance_pct
Orateur Cheng - Leonis Cheng,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Orateur Cheng - Gaïa,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Orateur Cheng - Delora Delarmi,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Orateur Cheng - Primo,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Orateur Cheng - Storgendibal,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Premier Orateur - Orateur Oendibal,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Premier Orateur - Delora Delarmi,0.0,1.0,0.0,1.0,1.0,0.0,100.0,0.0
Premier Orateur - Oratrice Delarmi,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Gaïa - Maître Cherchieur,0.0,1.0,0.0,1.0,1.0,0.0,100.0,0.0
Gaïa - Primo,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Stor Gendibal - Rurifant,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Gaïa - Secundo,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Gaïa - Thoobing,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Gaïa - Joie,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Gaïa - Jan ou Pel,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Gaïa - Dom,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Rufirant - Delora Delarmi,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Sura Novi - Maître Cherchieur,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Godhisavatta - Sobhaddartha,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Sobhaddartha - Considérez,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Professeur Quintesetz - Cosmographiquement,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Primo - Secundo,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Ma mère - Lachic,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Jan ou Pel - Joie,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Jan ou Pel - Gaïen,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Jan ou Pel - Dom,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Dom - Liebel Gennerat,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
